"Industry Group ID","Number of Employees Midpoint PCI","Industry Group"
"4889",-0.5816639177,"Otros Servicios Relacionados con el Transporte"
"4911",-0.3044513386,"Servicios Postales"
"4921",0.2505641462,"Servicios de Mensajería y Paquetería Foránea"
"4922",1.1326135734,"Servicios de Mensajería y Paquetería Local"
"4931",0.8182159062,"Servicios de Almacenamiento"
"5111",0.0382475259,"Edición de Periódicos, Revistas, Libros y Similares, y Edición de estas Publicaciones Integrada con la Impresión"
"5112",0.4875445356,"Edición de Software y Edición de Software Integrada con la Reproducción"
"5121",0.178870331,"Industria Fílmica y del Video"
"5122",-0.0093584107,"Industria del Sonido"
"5151",-0.9968751744,"Transmisión de Programas de Radio y Televisión"
"5152",-0.7823810741,"Producción de Programación de Canales para Sistemas de Televisión por Cable o Satelitales"
"5173",0.0299204933,"Operadores de Servicios de Telecomunicaciones Alámbricas e Inalámbricas"
"5174",0.9767923205,"Operadores de Servicios de Telecomunicaciones Vía Satélite"
"5179",-0.3138321904,"Otros Servicios de Telecomunicaciones"
"5182",-0.0226191745,"Procesamiento Electrónico de Información, Hospedaje y otros Servicios Relacionados"
"5191",-1.1950520626,"Otros Servicios de Información"
"5211",1.1963018764,"Banca Central"
"5221",0.3928883628,"Banca Múltiple"
"5222",-0.9673089051,"Instituciones Financieras de Fomento Económico"
"5223",-1.0815956388,"Uniones de Crédito e Instituciones de Ahorro"
"5224",-0.4318573881,"Otras Instituciones de Intermediación Crediticia y Financiera no Bursátil"
"5225",2.1178745145,"Servicios Relacionados con la Intermediación Crediticia no Bursátil"
"5231",0.7531152634,"Casas de Bolsa, Casas de Cambio y Centros Cambiarios"
"5232",1.1963018764,"Bolsa de Valores"
"5239",1.9225490079,"Asesoría en Inversiones y otros Servicios Relacionados con la Intermediación Bursátil"
"5241",1.823428798,"Compañías de Seguros y Fianzas"
"5242",1.1398997736,"Servicios Relacionados con los Seguros y las Fianzas, y Administración de Fondos para el Retiro"
"5252",-0.8805100375,"Fondos de Inversión"
"5311",0.0941912522,"Alquiler sin Intermediación de Bienes Raíces"
"5312",0.7061657207,"Inmobiliarias y Corredores de Bienes Raíces"
"5313",-0.0769383261,"Servicios Relacionados con los Servicios Inmobiliarios"
"5321",0.248793439,"Alquiler de Automóviles, Camiones y otros Transportes Terrestres"
"5322",-0.7943429441,"Alquiler de Artículos para el Hogar y Personales"
"5323",-0.0149499247,"Centros Generales de Alquiler"
"5324",0.455501476,"Alquiler de Maquinaria y Equipo Agropecuario, Pesquero, Industrial, Comercial y de Servicios"
"5331",0.7077805093,"Servicios de Alquiler de Marcas Registradas, Patentes y Franquicias"
"5411",0.3165511649,"Servicios Legales"
"5412",0.9497153539,"Servicios de Contabilidad, Auditoría y Servicios Relacionados"
"5413",0.496784364,"Servicios de Arquitectura, Ingeniería y Actividades Relacionadas"
"5414",0.8041784838,"Diseño Especializado"
"5415",1.2337822647,"Servicios de Diseño de Sistemas de Cómputo y Servicios Relacionados"
"5416",1.3179856913,"Servicios de Consultoría Administrativa, Científica y Técnica"
"5417",0.3961762081,"Servicios de Investigación Científica y Desarrollo"
"5418",1.7618793325,"Servicios de Publicidad y Actividades Relacionadas"
"5419",1.5096989728,"Otros Servicios Profesionales, Científicos y Técnicos"
"5511",0.7447030078,"Corporativos"
"5611",1.132661965,"Servicios de Administración de Negocios"
"5612",0.6067653566,"Servicios Combinados de Apoyo en Instalaciones"
"5613",0.6008302373,"Servicios de Empleo"
"5614",-1.2443690268,"Servicios de Apoyo Secretarial, Fotocopiado, Cobranza, Investigación Crediticia y Similares"
"5615",-0.3013377685,"Agencias de Viajes y Servicios de Reservaciones"
"5616",0.6773961349,"Servicios de Investigación, Protección y Seguridad"
"5617",0.47619272,"Servicios de Limpieza"
"5619",1.2604840122,"Otros Servicios de Apoyo a los Negocios"
"5621",0.6148532021,"Recolección de Residuos"
"5622",-0.2300453895,"Tratamiento y Disposición Final de Residuos"
"5629",0.6082436602,"Servicios de Remediación, Recuperación, y otros Servicios de Manejo de Residuos"
"6111",-1.1993390847,"Escuelas de Educación Básica, Media y para Necesidades Especiales"
"6112",-0.5316281523,"Escuelas de Educación Técnica Superior"
"6113",-0.6460641905,"Escuelas de Educación Superior"
"6114",-1.3063857869,"Escuelas Comerciales, de Computación y de Capacitación para Ejecutivos"
"6115",-1.0546673553,"Escuelas de Oficios"
"6116",0.4413453858,"Otros Servicios Educativos"
"6117",1.9225490079,"Servicios de Apoyo a la Educación"
"6211",-1.2129214291,"Consultorios Médicos"
"6212",-0.324936225,"Consultorios Dentales"
"6213",-0.0979221823,"Otros Consultorios para el Cuidado de la Salud"
"6214",0.3307919495,"Centros para la Atención de Pacientes que no Requieren Hospitalización"
"6215",-0.8913229835,"Laboratorios Médicos y de Diagnóstico"
"6216",-0.304040005,"Servicios de Enfermería a Domicilio"
"6219",-1.127956634,"Servicios de Ambulancias, de Bancos de Órganos y otros Servicios Auxiliares al Tratamiento Médico"
"6221",-1.0501569777,"Hospitales Generales"
"6222",-0.3925652111,"Hospitales Psiquiátricos y para el Tratamiento por Adicción"
"6223",-0.2120682642,"Hospitales de otras Especialidades Médicas"
"6231",-0.2244486978,"Residencias con Cuidados de Enfermeras para Enfermos Convalecientes, en Rehabilitación, Incurables y Terminales"
"6232",-0.49377392,"Residencias para el Cuidado de Personas con Problemas de Retardo Mental, Trastorno Mental y Adicciones"
"6233",-0.0462899179,"Asilos y otras Residencias para el Cuidado de Ancianos"
"6239",-0.5468648824,"Orfanatos y otras Residencias de Asistencia Social"
"6241",-1.6675205169,"Servicios de Orientación y Trabajo Social"
"6242",-0.9608597789,"Servicios Comunitarios de Alimentación, Refugio y Emergencia"
